﻿id;age_group_id;is_pregnant;is_breastfeeding;gender_id;nutrient_id;activity_level_id;unit_id;lower_limit;target;upper_limit;description;foot_note
29;3;0;0;2;5;;;;;;Für diese Altersgruppe liegt kein Referenzwert vor.;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
30;3;0;0;1;5;;;;;;Für diese Altersgruppe liegt kein Referenzwert vor.;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
31;4;0;0;2;5;;;;;;Für diese Altersgruppe liegt kein Referenzwert vor.;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
32;4;0;0;1;5;;;;;;Für diese Altersgruppe liegt kein Referenzwert vor.;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
33;5;0;0;2;5;;;;;;Für diese Altersgruppe liegt kein Referenzwert vor.;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
34;5;0;0;1;5;;;;;;Für diese Altersgruppe liegt kein Referenzwert vor.;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
35;6;0;0;2;5;;;;;;Für diese Altersgruppe liegt kein Referenzwert vor.;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
36;6;0;0;1;5;;;;;;Für diese Altersgruppe liegt kein Referenzwert vor.;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
37;7;0;0;2;5;;g;30;;;;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
38;7;0;0;1;5;;g;30;;;;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
39;8;0;0;2;5;;g;30;;;;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
40;8;0;0;1;5;;g;30;;;;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
41;9;0;0;2;5;;g;30;;;;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
42;9;0;0;1;5;;g;30;;;;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
43;10;0;0;2;5;;g;30;;;;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
44;10;0;0;1;5;;g;30;;;;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
45;8;1;0;1;5;;g;30;;;;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
46;8;1;0;1;5;;g;30;;;;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
47;8;1;0;1;5;;g;30;;;;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
48;8;0;1;1;5;;g;30;;;;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
49;1;0;0;2;19;;ug;;20;;;
50;1;0;0;1;19;;ug;;20;;;
51;2;0;0;2;19;;ug;;25;;;
52;2;0;0;1;19;;ug;;25;;;
53;3;0;0;2;19;;ug;;25;;;
54;3;0;0;1;19;;ug;;25;;;
55;4;0;0;2;19;;ug;;35;;;
56;4;0;0;1;19;;ug;;35;;;
57;5;0;0;2;19;;ug;;35;;;
58;5;0;0;1;19;;ug;;35;;;
59;6;0;0;2;19;;ug;;40;;;
60;6;0;0;1;19;;ug;;40;;;
61;7;0;0;2;19;;ug;;40;;;
62;7;0;0;1;19;;ug;;40;;;
63;8;0;0;2;19;;ug;;40;;;
64;8;0;0;1;19;;ug;;40;;;
65;9;0;0;2;19;;ug;;40;;;
66;9;0;0;1;19;;ug;;40;;;
67;10;0;0;2;19;;ug;;40;;;
68;10;0;0;1;19;;ug;;40;;;
69;8;1;0;1;19;;ug;;40;;;
70;8;1;0;1;19;;ug;;40;;;
71;8;1;0;1;19;;ug;;40;;;
72;8;0;1;1;19;;ug;;45;;;
73;1;0;0;2;28;;mg;;600;;;
74;1;0;0;1;28;;mg;;600;;;
75;2;0;0;2;28;;mg;;750;;;
76;2;0;0;1;28;;mg;;750;;;
77;3;0;0;2;28;;mg;;900;;;
78;3;0;0;1;28;;mg;;900;;;
79;4;0;0;2;28;;mg;;1100;;;
80;4;0;0;1;28;;mg;;1100;;;
81;5;0;0;2;28;;mg;;1200;;;
82;5;0;0;1;28;;mg;;1200;;;
83;6;0;0;2;28;;mg;;1200;;;
84;6;0;0;1;28;;mg;;1200;;;
85;7;0;0;2;28;;mg;;1000;;;
86;7;0;0;1;28;;mg;;1000;;;
87;8;0;0;2;28;;mg;;1000;;;
88;8;0;0;1;28;;mg;;1000;;;
89;9;0;0;2;28;;mg;;1000;;;
90;9;0;0;1;28;;mg;;1000;;;
91;10;0;0;2;28;;mg;;1000;;;
92;10;0;0;1;28;;mg;;1000;;;
93;8;1;0;1;28;;mg;;1000;;;Schwangere und Stillende < 19 Jahre 1200 mg
94;8;1;0;1;28;;mg;;1000;;;Schwangere und Stillende < 19 Jahre 1200 mg
95;8;1;0;1;28;;mg;;1000;;;Schwangere und Stillende < 19 Jahre 1200 mg
96;8;0;1;1;28;;mg;;1000;;;Schwangere und Stillende < 19 Jahre 1200 mg
97;1;0;0;2;32;;mg;;600;;;
98;1;0;0;1;32;;mg;;600;;;
99;2;0;0;2;32;;mg;;750;;;
100;2;0;0;1;32;;mg;;750;;;
101;3;0;0;2;32;;mg;;1150;;;
102;3;0;0;1;32;;mg;;1150;;;
103;4;0;0;2;32;;mg;;1700;;;
104;4;0;0;1;32;;mg;;1700;;;
105;5;0;0;2;32;;mg;;2150;;;
106;5;0;0;1;32;;mg;;2150;;;
107;6;0;0;2;32;;mg;;2300;;;
108;6;0;0;1;32;;mg;;2300;;;
109;7;0;0;2;32;;mg;;2300;;;
110;7;0;0;1;32;;mg;;2300;;;
111;8;0;0;2;32;;mg;;2300;;;
112;8;0;0;1;32;;mg;;2300;;;
113;9;0;0;2;32;;mg;;2300;;;
114;9;0;0;1;32;;mg;;2300;;;
115;10;0;0;2;32;;mg;;2300;;;
116;10;0;0;1;32;;mg;;2300;;;
117;8;1;0;1;32;;mg;;2300;;;
118;8;1;0;1;32;;mg;;2300;;;
119;8;1;0;1;32;;mg;;2300;;;
120;8;0;1;1;32;;mg;;2300;;;
121;1;0;0;2;;;ug;20;;60;;
122;1;0;0;1;;;ug;20;;60;;
123;2;0;0;2;;;ug;20;;80;;
124;2;0;0;1;;;ug;20;;80;;
125;3;0;0;2;;;ug;20;;100;;
126;3;0;0;1;;;ug;20;;100;;
127;4;0;0;2;;;ug;20;;100;;
128;4;0;0;1;;;ug;20;;100;;
129;5;0;0;2;;;ug;20;;100;;
130;5;0;0;1;;;ug;20;;100;;
131;6;0;0;2;;;ug;30;;100;;
132;6;0;0;1;;;ug;30;;100;;
133;7;0;0;2;;;ug;30;;100;;
134;7;0;0;1;;;ug;30;;100;;
135;8;0;0;2;;;ug;30;;100;;
136;8;0;0;1;;;ug;30;;100;;
137;9;0;0;2;;;ug;30;;100;;
138;9;0;0;1;;;ug;30;;100;;
139;10;0;0;2;;;ug;30;;100;;
140;10;0;0;1;;;ug;30;;100;;
141;8;1;0;1;;;ug;30;;100;;
142;8;1;0;1;;;ug;30;;100;;
143;8;1;0;1;;;ug;30;;100;;
144;8;0;1;1;;;ug;30;;100;;
145;1;0;0;2;104;;%;10;;;;
146;1;0;0;1;104;;%;10;;;;
147;2;0;0;2;104;;%;10;;;;
148;2;0;0;1;104;;%;10;;;;
149;3;0;0;2;104;;%;10;;;;
150;3;0;0;1;104;;%;10;;;;
151;4;0;0;2;104;;%;10;;;;
152;4;0;0;1;104;;%;10;;;;
153;5;0;0;2;104;;%;10;;;;
154;5;0;0;1;104;;%;10;;;;
155;6;0;0;2;104;;%;10;;;;
156;6;0;0;1;104;;%;10;;;;
157;7;0;0;2;104;;%;10;;;;
158;7;0;0;1;104;;%;10;;;;
159;8;0;0;2;104;;%;10;;;;
160;8;0;0;1;104;;%;10;;;;
161;9;0;0;2;104;;%;10;;;;
162;9;0;0;1;104;;%;10;;;;
163;10;0;0;2;104;;%;10;;;;
164;10;0;0;1;104;;%;10;;;;
165;8;1;0;1;104;;%;10;;;;
166;8;1;0;1;104;;%;10;;;;
167;8;1;0;1;104;;%;10;;;;
168;8;0;1;1;104;;%;10;;;;
169;1;0;0;2;33;;mg;;7;;;
170;1;0;0;1;33;;mg;;7;;;
171;2;0;0;2;33;;mg;;7;;;
172;2;0;0;1;33;;mg;;7;;;
173;3;0;0;2;33;;mg;;10;;;
174;3;0;0;1;33;;mg;;10;;;
175;4;0;0;2;33;;mg;;14;;;
176;4;0;0;1;33;;mg;;14;;;Bei frühzeitiger Menarche müssen menstruelle Eisenverluste ersetzt werden, wenn Menstruationsstärke und -zyklus bereits regelmäßig sind. Der physiologische Eisenbedarf entspricht in diesem Fall dem von prämenopausalen Frauen, wodurch sich eine empfohlene Zufuhr von 16 mg Eisen/Tag ergibt.
177;5;0;0;2;33;;mg;;11;;;
178;5;0;0;1;33;;mg;;16;;;Bei Jugendlichen und Frauen, die nicht menstruieren (u. a. aufgrund der Verwendung von oralen Kontrazeptiva, die durchgängig ohne Pause eingenommen werden, frühere Perimenopause) wird basierend auf den Werten für Männer eine empfohlene Zufuhr von 11 mg Eisen/Tag angegeben. Für Schwangere und für Frauen nach einer Geburt gelten die jeweiligen Referenzwerte.
179;6;0;0;2;33;;mg;;11;;;Bei Jugendlichen und Frauen, die nicht menstruieren (u. a. aufgrund der Verwendung von oralen Kontrazeptiva, die durchgängig ohne Pause eingenommen werden, frühere Perimenopause) wird basierend auf den Werten für Männer eine empfohlene Zufuhr von 11 mg Eisen/Tag angegeben. Für Schwangere und für Frauen nach einer Geburt gelten die jeweiligen Referenzwerte.
180;6;0;0;1;33;;mg;;16;;;Bei Jugendlichen und Frauen, die nicht menstruieren (u. a. aufgrund der Verwendung von oralen Kontrazeptiva, die durchgängig ohne Pause eingenommen werden, frühere Perimenopause) wird basierend auf den Werten für Männer eine empfohlene Zufuhr von 11 mg Eisen/Tag angegeben. Für Schwangere und für Frauen nach einer Geburt gelten die jeweiligen Referenzwerte.
181;7;0;0;2;33;;mg;;11;;;Bei Jugendlichen und Frauen, die nicht menstruieren (u. a. aufgrund der Verwendung von oralen Kontrazeptiva, die durchgängig ohne Pause eingenommen werden, frühere Perimenopause) wird basierend auf den Werten für Männer eine empfohlene Zufuhr von 11 mg Eisen/Tag angegeben. Für Schwangere und für Frauen nach einer Geburt gelten die jeweiligen Referenzwerte.
182;7;0;0;1;33;;mg;;16;;;Bei Jugendlichen und Frauen, die nicht menstruieren (u. a. aufgrund der Verwendung von oralen Kontrazeptiva, die durchgängig ohne Pause eingenommen werden, frühere Perimenopause) wird basierend auf den Werten für Männer eine empfohlene Zufuhr von 11 mg Eisen/Tag angegeben. Für Schwangere und für Frauen nach einer Geburt gelten die jeweiligen Referenzwerte.
183;8;0;0;2;33;;mg;;11;;;Bei Jugendlichen und Frauen, die nicht menstruieren (u. a. aufgrund der Verwendung von oralen Kontrazeptiva, die durchgängig ohne Pause eingenommen werden, frühere Perimenopause) wird basierend auf den Werten für Männer eine empfohlene Zufuhr von 11 mg Eisen/Tag angegeben. Für Schwangere und für Frauen nach einer Geburt gelten die jeweiligen Referenzwerte.
