﻿Bevölkerungsgruppe;age_group_id;is_pregnant;is_breastfeeding;Geschlecht;gender_id;Nährstoff;nutrient_id;activity_level_id;Referenzwert;lower_limit;target;upper_limit;Einheit;unit_code;Bemerkung;Kategorie;Fussnoten;foot_note
1 bis unter 4 Jahre;1;;;Männlich;2;Ballaststoffe;5;;-;;;;;;Für diese Altersgruppe liegt kein Referenzwert vor.;Richtwert;ap;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
1 bis unter 4 Jahre;1;;;Weiblich;1;Ballaststoffe;5;;-;;;;;;Für diese Altersgruppe liegt kein Referenzwert vor.;Richtwert;ap;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
4 bis unter 7 Jahre;2;;;Männlich;2;Ballaststoffe;5;;-;;;;;;Für diese Altersgruppe liegt kein Referenzwert vor.;Richtwert;ap;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
4 bis unter 7 Jahre;2;;;Weiblich;1;Ballaststoffe;5;;-;;;;;;Für diese Altersgruppe liegt kein Referenzwert vor.;Richtwert;ap;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
7 bis unter 10 Jahre;3;;;Männlich;2;Ballaststoffe;5;;-;;;;;;Für diese Altersgruppe liegt kein Referenzwert vor.;Richtwert;ap;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
7 bis unter 10 Jahre;3;;;Weiblich;1;Ballaststoffe;5;;-;;;;;;Für diese Altersgruppe liegt kein Referenzwert vor.;Richtwert;ap;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
10 bis unter 13 Jahre;4;;;Männlich;2;Ballaststoffe;5;;-;;;;;;Für diese Altersgruppe liegt kein Referenzwert vor.;Richtwert;ap;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
10 bis unter 13 Jahre;4;;;Weiblich;1;Ballaststoffe;5;;-;;;;;;Für diese Altersgruppe liegt kein Referenzwert vor.;Richtwert;ap;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
13 bis unter 15 Jahre;5;;;Männlich;2;Ballaststoffe;5;;-;;;;;;Für diese Altersgruppe liegt kein Referenzwert vor.;Richtwert;ap;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
13 bis unter 15 Jahre;5;;;Weiblich;1;Ballaststoffe;5;;-;;;;;;Für diese Altersgruppe liegt kein Referenzwert vor.;Richtwert;ap;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
15 bis unter 19 Jahre;6;;;Männlich;2;Ballaststoffe;5;;-;;;;;;Für diese Altersgruppe liegt kein Referenzwert vor.;Richtwert;ap;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
15 bis unter 19 Jahre;6;;;Weiblich;1;Ballaststoffe;5;;-;;;;;;Für diese Altersgruppe liegt kein Referenzwert vor.;Richtwert;ap;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
19 bis unter 25 Jahre;7;;;Männlich;2;Ballaststoffe;5;;≥30;30;;;g/Tag;g;;Richtwert;ap;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
19 bis unter 25 Jahre;7;;;Weiblich;1;Ballaststoffe;5;;≥30;30;;;g/Tag;g;;Richtwert;ap;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
25 bis unter 51 Jahre;8;;;Männlich;2;Ballaststoffe;5;;≥30;30;;;g/Tag;g;;Richtwert;ap;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
25 bis unter 51 Jahre;8;;;Weiblich;1;Ballaststoffe;5;;≥30;30;;;g/Tag;g;;Richtwert;ap;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
51 bis unter 65 Jahre;9;;;Männlich;2;Ballaststoffe;5;;≥30;30;;;g/Tag;g;;Richtwert;ap;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
51 bis unter 65 Jahre;9;;;Weiblich;1;Ballaststoffe;5;;≥30;30;;;g/Tag;g;;Richtwert;ap;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
65 Jahre und älter;10;;;Männlich;2;Ballaststoffe;5;;≥30;30;;;g/Tag;g;;Richtwert;ap;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
65 Jahre und älter;10;;;Weiblich;1;Ballaststoffe;5;;≥30;30;;;g/Tag;g;;Richtwert;ap;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
1. Trimester;8;1;;Weiblich;1;Ballaststoffe;5;;≥30;30;;;g/Tag;g;;Richtwert;ap;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
2. Trimester;8;1;;Weiblich;1;Ballaststoffe;5;;≥30;30;;;g/Tag;g;;Richtwert;ap;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
3. Trimester;8;1;;Weiblich;1;Ballaststoffe;5;;≥30;30;;;g/Tag;g;;Richtwert;ap;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
Stillende;8;;1;Weiblich;1;Ballaststoffe;5;;≥30;30;;;g/Tag;g;;Richtwert;ap;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
1 bis unter 4 Jahre;1;;;Männlich;2;Vitamin B7 Biotin (Vitamin H);19;;#;;20;;µg/Tag;ug;;Schätzwert;;
1 bis unter 4 Jahre;1;;;Weiblich;1;Vitamin B7 Biotin (Vitamin H);19;;#;;20;;µg/Tag;ug;;Schätzwert;;
4 bis unter 7 Jahre;2;;;Männlich;2;Vitamin B7 Biotin (Vitamin H);19;;#;;25;;µg/Tag;ug;;Schätzwert;;
4 bis unter 7 Jahre;2;;;Weiblich;1;Vitamin B7 Biotin (Vitamin H);19;;#;;25;;µg/Tag;ug;;Schätzwert;;
7 bis unter 10 Jahre;3;;;Männlich;2;Vitamin B7 Biotin (Vitamin H);19;;#;;25;;µg/Tag;ug;;Schätzwert;;
7 bis unter 10 Jahre;3;;;Weiblich;1;Vitamin B7 Biotin (Vitamin H);19;;#;;25;;µg/Tag;ug;;Schätzwert;;
10 bis unter 13 Jahre;4;;;Männlich;2;Vitamin B7 Biotin (Vitamin H);19;;#;;35;;µg/Tag;ug;;Schätzwert;;
10 bis unter 13 Jahre;4;;;Weiblich;1;Vitamin B7 Biotin (Vitamin H);19;;#;;35;;µg/Tag;ug;;Schätzwert;;
13 bis unter 15 Jahre;5;;;Männlich;2;Vitamin B7 Biotin (Vitamin H);19;;#;;35;;µg/Tag;ug;;Schätzwert;;
13 bis unter 15 Jahre;5;;;Weiblich;1;Vitamin B7 Biotin (Vitamin H);19;;#;;35;;µg/Tag;ug;;Schätzwert;;
15 bis unter 19 Jahre;6;;;Männlich;2;Vitamin B7 Biotin (Vitamin H);19;;#;;40;;µg/Tag;ug;;Schätzwert;;
15 bis unter 19 Jahre;6;;;Weiblich;1;Vitamin B7 Biotin (Vitamin H);19;;#;;40;;µg/Tag;ug;;Schätzwert;;
19 bis unter 25 Jahre;7;;;Männlich;2;Vitamin B7 Biotin (Vitamin H);19;;#;;40;;µg/Tag;ug;;Schätzwert;;
19 bis unter 25 Jahre;7;;;Weiblich;1;Vitamin B7 Biotin (Vitamin H);19;;#;;40;;µg/Tag;ug;;Schätzwert;;
25 bis unter 51 Jahre;8;;;Männlich;2;Vitamin B7 Biotin (Vitamin H);19;;#;;40;;µg/Tag;ug;;Schätzwert;;
25 bis unter 51 Jahre;8;;;Weiblich;1;Vitamin B7 Biotin (Vitamin H);19;;#;;40;;µg/Tag;ug;;Schätzwert;;
51 bis unter 65 Jahre;9;;;Männlich;2;Vitamin B7 Biotin (Vitamin H);19;;#;;40;;µg/Tag;ug;;Schätzwert;;
51 bis unter 65 Jahre;9;;;Weiblich;1;Vitamin B7 Biotin (Vitamin H);19;;#;;40;;µg/Tag;ug;;Schätzwert;;
65 Jahre und älter;10;;;Männlich;2;Vitamin B7 Biotin (Vitamin H);19;;#;;40;;µg/Tag;ug;;Schätzwert;;
65 Jahre und älter;10;;;Weiblich;1;Vitamin B7 Biotin (Vitamin H);19;;#;;40;;µg/Tag;ug;;Schätzwert;;
1. Trimester;8;1;;Weiblich;1;Vitamin B7 Biotin (Vitamin H);19;;#;;40;;µg/Tag;ug;;Schätzwert;;
2. Trimester;8;1;;Weiblich;1;Vitamin B7 Biotin (Vitamin H);19;;#;;40;;µg/Tag;ug;;Schätzwert;;
3. Trimester;8;1;;Weiblich;1;Vitamin B7 Biotin (Vitamin H);19;;#;;40;;µg/Tag;ug;;Schätzwert;;
Stillende;8;;1;Weiblich;1;Vitamin B7 Biotin (Vitamin H);19;;#;;45;;µg/Tag;ug;;Schätzwert;;
1 bis unter 4 Jahre;1;;;Männlich;2;Calcium;28;;#;;600;;mg/Tag;mg;;Empfohlene Zufuhr;;
1 bis unter 4 Jahre;1;;;Weiblich;1;Calcium;28;;#;;600;;mg/Tag;mg;;Empfohlene Zufuhr;;
4 bis unter 7 Jahre;2;;;Männlich;2;Calcium;28;;#;;750;;mg/Tag;mg;;Empfohlene Zufuhr;;
4 bis unter 7 Jahre;2;;;Weiblich;1;Calcium;28;;#;;750;;mg/Tag;mg;;Empfohlene Zufuhr;;
7 bis unter 10 Jahre;3;;;Männlich;2;Calcium;28;;#;;900;;mg/Tag;mg;;Empfohlene Zufuhr;;
7 bis unter 10 Jahre;3;;;Weiblich;1;Calcium;28;;#;;900;;mg/Tag;mg;;Empfohlene Zufuhr;;
10 bis unter 13 Jahre;4;;;Männlich;2;Calcium;28;;#;;1100;;mg/Tag;mg;;Empfohlene Zufuhr;;
10 bis unter 13 Jahre;4;;;Weiblich;1;Calcium;28;;#;;1100;;mg/Tag;mg;;Empfohlene Zufuhr;;
13 bis unter 15 Jahre;5;;;Männlich;2;Calcium;28;;#;;1200;;mg/Tag;mg;;Empfohlene Zufuhr;;
13 bis unter 15 Jahre;5;;;Weiblich;1;Calcium;28;;#;;1200;;mg/Tag;mg;;Empfohlene Zufuhr;;
15 bis unter 19 Jahre;6;;;Männlich;2;Calcium;28;;#;;1200;;mg/Tag;mg;;Empfohlene Zufuhr;;
15 bis unter 19 Jahre;6;;;Weiblich;1;Calcium;28;;#;;1200;;mg/Tag;mg;;Empfohlene Zufuhr;;
19 bis unter 25 Jahre;7;;;Männlich;2;Calcium;28;;#;;1000;;mg/Tag;mg;;Empfohlene Zufuhr;;
19 bis unter 25 Jahre;7;;;Weiblich;1;Calcium;28;;#;;1000;;mg/Tag;mg;;Empfohlene Zufuhr;;
